url,local_path,type,title,status,error
https://alnajmi.net/files/khraaj2.MP3,audio/khraaj2.MP3,audio,جلسة مع طلبة العلم بالخرج 1416 هـ 2,failed,HTTP 404
https://alnajmi.net/portal/wp-content/uploads/2019/01/الإمام-أحمد-بن-حنبل.pdf,pdf/book_lib/الإمام-أحمد-بن-حنبل.pdf,pdf,سيرة الإمام المبجل أحمد بن محمد بن حنبل,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/تنزية-الشريعة.pdf,pdf/book_lib/تنزية-الشريعة.pdf,pdf,تنزيه الشريعة,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/دور-المساجد-في-الإسلام.pdf,pdf/book_lib/دور-المساجد-في-الإسلام.pdf,pdf,دور المساجد في الإسلام,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/تفسير-آيات-الصيام.pdf,pdf/book_lib/تفسير-آيات-الصيام.pdf,pdf,تفسير آيات الصيام,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/وأن-هذا-صراطي-مستقيماً-فاتبعوه.pdf,pdf/book_lib/وأن-هذا-صراطي-مستقيماً-فاتبعوه.pdf,pdf,وأن هذا صراطي مستقيماً فاتبعوه,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/واعــبدوا-اللـــه-ولا-تشــركــوا-بـه-شــيئًا-طبعة-جديدة-.pdf,pdf/book_lib/واعــبدوا-اللـــه-ولا-تشــركــوا-بـه-شــيئًا-طبعة-جديدة-.pdf,pdf,واعبدوا اللـه ولا تشركوا بـه شيئًا ( طبعة جديدة ),ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/استقبال-شهر-رمضان.pdf,pdf/book_lib/استقبال-شهر-رمضان.pdf,pdf,استقبال شهر رمضان,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/صفة-الحج.pdf,pdf/book_lib/صفة-الحج.pdf,pdf,صفة الحج,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/فتح-الرب-الرحيم-في-حكم-الجهر-والإسرار-ببسم-الله-الرحمن-الرحيم.pdf,pdf/book_lib/فتح-الرب-الرحيم-في-حكم-الجهر-والإسرار-ببسم-الله-الرحمن-الرحيم.pdf,pdf,فتح الرب الرحيم في حكم الجهر والإسرار ببسم الله الرحمن الرحيم,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/فضل-الصيام.pdf,pdf/book_lib/فضل-الصيام.pdf,pdf,فضل الصيام,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/إحياء-الأموات.pdf,pdf/book_lib/إحياء-الأموات.pdf,pdf,إحياء الأموات,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/تأسيس-1.pdf,pdf/book_lib/تأسيس-1.pdf,pdf,تأسيس الأحكام الأول,ok,
https://alnajmi.net/portal/wp-content/uploads/2019/01/تأسيس-2.pdf,pdf/book_lib/تأسيس-2.pdf,pdf,تأسيس الأحكام الثاني,ok,
